t,x,y,state
0,3179.497,-3633.59,Straight
1,3171.838,-3644.71,Straight
2,3188.006,-3571.32,Straight
3,3192.261,-3567.99,Straight
4,3174.391,-3624.7,Straight
5,3183.751,-3645.82,Straight
6,3200.77,-3573.55,Straight
7,3174.391,-3650.27,Straight
8,3143.757,-3662.5,Straight
9,2709.774,-3196.59,Straight
10,2692.755,-3244.41,Straight
11,3245.02,-3643.6,Straight
12,2931.02,-3512.39,Straight
13,2678.289,-3221.06,Straight
14,3168.434,-3642.49,Straight
15,3199.068,-3579.11,Straight
16,3182.05,-3646.93,Straight
17,2682.544,-3213.27,Straight
18,3197.367,-3561.31,Straight
19,3188.857,-3648.05,Straight
